address,symbol,decimals,name
SLNDpmoWTVADgEdndyvWzroNL7zSi1dF9PC3xHGtPwp,SLND,6,Solend
Dhg9XnzJWzSQqH2aAnhPTEJHGQAkALDfD98MA499A7pa,SHIBA,9,Shibalana
DYbRXaQcnj44SH9woxvyFdtcKkSoPoCEshRTQDZSjsBm,MARIJUANA,9,Marijuana Joint
FCqfQSujuPxy6V42UvafBhsysWtEq1vhjfMN1PUbgaxA,USDCbs,8,USD Coin (Portal from BSC)
8qJSyQprMC57TWKaYEmetUR3UUiTP2M3hXdcvFhkZdmv,USDTbs,8,Tether USD (Portal from BSC)
BjTUmZjNUUAPKHVdTs8yZsCmecW5isSK4AbuFihXoUwa,PUSSY,9,Pussy
AMNoi4727tzy7adu4wnx3cN2VQbQdG71DqaPoSm7isJ3,BITCH,9,Bitch Of Solana
3in9a9yHtdjDFRjDyGTTpGUwJpT9zZBcyjQ8J7nqqNtq,DoggyStyle,9,Doggy Style
AVKnbqNQgXDY8kbnno9eSGfwpVz5idimBnDKiz1vbWAh,PART,9,Particle
7zhbkbKpGaUsJW7AD4yyAfGGoy53Xx2H3Ai5BKcwGKHw,NOM,0,nom
CiKu4eHsVrc1eueVQeHn7qhXTcVu95gSQmBpX4utjL9z,SHIB,8,SHIBA INU (Portal)
4Hx6Bj56eGyw8EJrrheM6LBQAvVYRikYCWsALeTrwyRU,DYDX,8,dYdX (Portal)
5RpUwQ8wtdPCZHhu6MERp2RGrpobsbZ6MH5dDHkUjs2,BUSDbs,8,BUSD Token (Portal from BSC)
A98UDy7z8MfmWnTQt6cKjje7UfqV3pTLf4yEbuwL2HrH,MODUL,9,Modul
GENEtH5amGSi8kHAtQoezp1XEXwZJ8vcuePYnXdKrMYz,GENE,9,Genopets
sonarX4VtVkQemriJeLm6CKeW3GDMyiBnnAEMw1MRAE,SONAR,9,Sonar Watch
FoXyMu5xwXre7zEoSvzViRk3nGawHUp9kUh97y2NDhcq,FOXY,0,Famous Fox Federation
GLmaRDRmYd4u3YLfnj9eq1mrwxa1YfSweZYYZXZLTRdK,SOLAB,9,Solabrador
EswgBj2hZKdgovX2ihWSUDnuBg9VNbGmSGoH5yjNsPRa,PHY,9,Physis
4tJZhSdGePuMEfZQ3h5LaHjTPsw1iWTRFTojnZcwsAU6,ELU,9,Elumia Crowns
EzL6LLmv4vgfF7irkjG7ZxM92bTJ9f6nFopDXJTow7zj,CONDOMS,9,Solana Condoms
